name,description,latitude,longitude
"KFC-Phoenix,AZ",,33.30543,-111.99921
"KFC-Phoenix,AZ",,33.6409,-111.99462
"KFC-Phoenix,AZ",,33.34876,-111.97817
"KFC-Phoenix,AZ",,33.37816,-112.0729
"KFC-Prescott Valley,AZ",,34.58591,-112.32803
"KFC-Prescott,AZ",,34.55089,-112.47906
"KFC-Queen Creek,AZ",,33.21993,-111.56755
"KFC-San Luis,AZ",,32.4859,-114.78217
"KFC-Scottsdale,AZ",,33.58194,-111.92905
"KFC-Scottsdale,AZ",,33.49504,-111.90769
"KFC-Scottsdale,AZ",,33.5385,-111.88361
"KFC-Scottsdale,AZ",,33.58841,-111.8359
"KFC-Sedona,AZ",,34.8637,-111.79585
"KFC-Show Low,AZ",,34.25148,-110.02876
"KFC-Sierra Vista,AZ",,31.5545,-110.28718
"KFC-Sun City,AZ",,33.60215,-112.28872
"KFC-Sun Lakes,AZ",,33.21821,-111.87708
"KFC-Surprise,AZ",,33.63891,-112.39468
"KFC-Surprise,AZ",,33.63829,-112.33237
"KFC-Tempe,AZ",,33.40753,-111.95408
"KFC-Tempe,AZ",,33.37805,-111.94997
"KFC-Tempe,AZ",,33.33479,-111.90923
"KFC-Tucson,AZ",,32.35663,-111.09224
"KFC-Tucson,AZ",,32.3376,-111.03164
"KFC-Tucson,AZ",,32.13398,-111.03067
"KFC-Tucson,AZ",,32.25045,-111.00703
"KFC-Tucson,AZ",,32.26722,-110.97787
"KFC-Tucson,AZ",,32.34982,-110.97556
"KFC-Tucson,AZ",,32.16132,-110.94353
"KFC-Tucson,AZ",,32.23581,-110.92933
"KFC-Tucson,AZ",,32.20806,-110.87482
"KFC-Tucson,AZ",,32.25033,-110.84558
"KFC-Tucson,AZ",,32.19215,-110.83832
"KFC-Wickenburg,AZ",,33.97055,-112.72159
"KFC-Willcox,AZ",,32.26136,-109.84153
"KFC-Winslow,AZ",,35.03749,-110.6993
"KFC-Yuma,AZ",,32.69918,-114.62477
"KFC-Yuma,AZ",,32.66959,-114.61108
"KFC-Yuma,AZ",,32.66994,-114.42943
"KFC-Adelanto,CA",,34.50607,-117.39975
"KFC-Alameda,CA",,37.76212,-122.24377
"KFC-Alhambra,CA",,34.07636,-118.15743
"KFC-Alhambra,CA",,34.09658,-118.12804
"KFC-Alhambra,CA",,34.07832,-118.10836
"KFC-Alpine,CA",,32.84082,-116.70673
"KFC-Anaheim,CA",,33.83205,-117.97587
"KFC-Anaheim,CA",,33.82907,-117.94165
"KFC-Anaheim,CA",,33.8183,-117.90924
"KFC-Anaheim,CA",,33.83975,-117.88865
"KFC-Anaheim,CA",,33.85995,-117.79172
"KFC-Angels Camp,CA",,38.08549,-120.56488
"KFC-Antelope,CA",,38.71678,-121.39257
"KFC-Antioch,CA",,38.0039,-121.83422
"KFC-Antioch,CA",,37.99434,-121.78419
"KFC-Apple Valley,CA",,34.53918,-117.26155
"KFC-Aptos,CA",,36.97858,-121.90793
"KFC-Arcadia,CA",,34.1308,-118.05482
"KFC-Arcadia,CA",,34.15117,-118.02785
